YSAMP_N,FISH_N,GEN_N,SPECIES,LENGTH,WEIGHT,SEX,MAT,CLIP_R,CLIP_A,TCLIP_R,TCLIP_A,TAG_R,TAG_A,TAG_TYPE,TAG_COLOR,TAG2_R,TAG2_A,TAG2_TYPE,TAG2_COLOR,WHOLE_FISH,SCALE,BIOP,GAS_LAV,FIN,BLOOD,GUT,HEAD,OTOLITH,MAXILLA,OPERCULAR,TISS_SAMP,DRY_W,GONAD,DISEASE,PIC,ARCH,ARCH_N,REMOVED,DEAD,MOLT_S,PANEL_N,COMMENTS,OLD_YSAMP_N,STATUS,TAG_CLAR,TAG_MIGR,TAG_FRAG,TAG_CLAR_SHRD,TAG_MIGR_SHRD,TAG_FRAG_SHRD,STK_N,ORIGIN,STR,YR_CL,AGE,AGE_TECH,AGED_BY
GLN1,,,NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN2,,,CC,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN2,,,CC,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN3,,,CC,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN3,,,CC,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN3,,,CC,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN4,,426,LLS,338,334.2,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN5,,,ST,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN5,,,ST,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN5,,,ST,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN5,,425,ST,227,138.8,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN6,,564,ST,NA,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN6,,608,ST,NA,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN6,,609,ST,NA,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN6,,604,LLS,NA,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN6,,605,LLS,NA,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN6,,606,LLS,NA,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN6,,607,LLS,NA,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN7,,,NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN8,,524,ST,332,497.2,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN8,,399,LLS,180,63.6,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN8,,391,LLS,177,53.1,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN8,,424,ST,218,132.6,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN9,,392,LLS,176,56.3,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN10,,,NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,555,CC,NA,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,556,CC,NA,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,557,CC,NA,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN11,,,CC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN12,,,NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN13,,502,ST,202,81.7,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN13,,503,ST,190,67.2,,,,,,,,,,,,,,,,,,,1,,0,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN13,,504,ST,187,59.7,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN13,,505,ST,178,53,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN13,,506,ST,192,67.5,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN13,,507,ST,344,497.6,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN13,,,ST,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN13,,,ST,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN14,,,NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
