,YSAMP,WATER,DATE_SIMP,DATE,SITE,GEAR,GEAR_2,EFFORT,DSAMP,GROUP,ORDER..OR.ABOVE.,FAMILY,GENUS,SPECIES,LIFE.STAGE,VOUCHER,VOUCHER_N,ISOTOPE,ISOTOPE_N,RUN.FOR.ISOTOPE,TOTAL_N
1,,COM,,,CONTROL_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,LEECH,,,,NA,,NA,,,,1
2,,COM,,,CONTROL_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,V,NA,,,,3
3,,COM,,,CONTROL_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,LEECH,,,,NA,,NA,,,,2
4,,COM,,,CONTROL_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,LEECH,,,,NA,U,NA,,,,2
5,,COM,,,CONTROL_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,NI,,,,NA,,NA,,,,1
6,,COM,,,CONTROL_CAGE,N,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,,NA,,,,1
7,,COM,,,CONTROL_CAGE,N,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,X,NA,,,,50
8,,COM,,,CONTROL_CAGE,N,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,odonata,,,,NA,A6,NA,,,,6
9,,COM,,,CONTROL_CAGE,N,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,Sphaeriida,,,,NA,,NA,,,,3
10,,COM,,,CONTROL_CAGE,N,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,trichoptera,,,,NA,A2,NA,,,,3
11,,COM,,,CONTROL_CAGE,N,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,trichoptera,,,,NA,L,NA,,,,1
12,,COM,,,CONTROL_CAGE,N,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,trichoptera,,,,NA,W,NA,,,,1
13,,COM,,,CONTROL_CAGE,STICK,STICK,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,,NA,,,,117
14,,COM,,,CONTROL_CAGE,STICK,STICK,1,NA,AQUATIC MACROINVERTEBRATE,LEECH,,,,NA,,NA,,,,3
15,,COM,,,CONTROL_CAGE,STICK,STICK,1,NA,AQUATIC MACROINVERTEBRATE,UNIDENTIFIED,,,,NA,,NA,,,,3
16,,COM,,,LG.CC_CAGE,DNC,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,,NA,,,,1
17,,COM,,,LG.CC_CAGE,DNC,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,LEECH,,,,NA,,NA,,,,12
18,,COM,,,LG.CC_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,LEECH,,,,NA,,NA,,,,2
19,,COM,,,LG.CC_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,odonata,,,,NA,A,NA,,,,3
20,,COM,,,LG.CC_CAGE,STICK,STICK,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,A4,NA,,,,6
21,,COM,,,LG.CC_CAGE,STICK,STICK,1,NA,AQUATIC MACROINVERTEBRATE,trichoptera,,,,NA,A3,NA,,,,9
22,,COM,,,OUTSIDE_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,LEECH,,,,NA,,NA,,,,1
23,,COM,,,OUTSIDE_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,NI,,,,NA,,NA,,,,1
24,,COM,,,OUTSIDE_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,,,,NA,E,NA,,,,4
25,,COM,,,OUTSIDE_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,,NA,,,,2
26,,COM,,,OUTSIDE_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,trichoptera,,,,NA,B,NA,,,,1
27,,COM,,,OUTSIDE_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,WORM,,,,NA,D,NA,,,,1
28,,COM,,,SM.CC_CAGE,DNC,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,NI,,,,NA,,NA,,,,1
29,,COM,,,SM.CC_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,odonata,,,,NA,,NA,,,,1
30,,COM,,,SM.CC_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,NI,,,,NA,,NA,,,,1
31,,COM,,,SM.CC_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,trichoptera,,,,NA,B,NA,,,,2
32,,COM,,,SM.CC_CAGE,STICK,STICK,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,A5,NA,,,,25
33,,COM,,,SM.CC_CAGE,STICK,STICK,1,NA,AQUATIC MACROINVERTEBRATE,LEECH,,,,NA,,NA,,,,1
34,,LML,,,CC_CAGE,C,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,decapoda,cambaridae,orconectes ,propinquus,NA,,NA,,,,1
35,,LML,,,CC_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,NI,,,,NA,,NA,,,,1
36,,LML,,,CC_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,odonata,,,,NA,,NA,,,,1
37,,LML,,,CC_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,odonata,,,,NA,N,NA,,,,1
38,,LML,,,CC_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,NI,,,,NA,,NA,,,,1
39,,LML,,,CC_CAGE,STICK,STICK,1,NA,AQUATIC MACROINVERTEBRATE,trichoptera,,,,NA,K,NA,,,,1
40,,LML,,,CONTROL_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,NI,,,,NA,,NA,,,,1
41,,LML,,,CONTROL_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,NI,,,,NA,,NA,,,,1
42,,LML,,,CONTROL_CAGE,N,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,ephemenoptera,,,,NA,F,NA,,,,2
43,,LML,,,CONTROL_CAGE,STICK,STICK,1,NA,AQUATIC MACROINVERTEBRATE,amphipoda,,,,NA,S,NA,,,,1
44,,LML,,,CONTROL_CAGE,STICK,STICK,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,M,NA,,,,1
45,,LML,,,CONTROL_CAGE,STICK,STICK,1,NA,AQUATIC MACROINVERTEBRATE,ephemenoptera,,,,NA,P,NA,,,,1
46,,LML,,,CONTROL_CAGE,STICK,STICK,1,NA,AQUATIC MACROINVERTEBRATE,ephemenoptera,,,,NA,Q,NA,,,,3
47,,LML,,,CONTROL_CAGE,STICK,STICK,1,NA,AQUATIC MACROINVERTEBRATE,trichoptera,,,,NA,R,NA,,,,2
48,,LML,,,LG.SMB_CAGE,DNC,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,I,NA,,,,2
49,,LML,,,LG.SMB_CAGE,DNC,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,M,NA,,,,1
50,,LML,,,LG.SMB_CAGE,DNC,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,odonata ,,,,NA,J,NA,,,,1
51,,LML,,,LG.SMB_CAGE,DNC,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,SNAIL,,,,NA,H,NA,,,,1
52,,LML,,,LG.SMB_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,,NA,,,,1
53,,LML,,,LG.SMB_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,Y,NA,,,,1
54,,LML,,,LG.SMB_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,odonata,,,,NA,,NA,,,,1
55,,LML,,,LG.SMB_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,odonata ,,,,NA,G,NA,,,,1
56,,LML,,,LG.SMB_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,plecoptera ,,,,NA,T,NA,,,,1
57,,LML,,,LG.SMB_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,trichoptera,,,,NA,Y,NA,,,,3
58,,LML,,,LG.SMB_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,NI,,,,NA,,NA,,,,1
59,,LML,,,LG.SMB_CAGE,STICK,STICK,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,M,NA,,,,1
60,,LML,,,OUTSIDE_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,NI,,,,NA,,NA,,,,1
61,,LML,,,OUTSIDE_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,C,NA,,,,1
62,,LML,,,OUTSIDE_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,LEECH,,,,NA,,NA,,,,1
63,,LML,,,OUTSIDE_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,NI,,,,NA,,NA,,,,2
64,,LML,,,SM.SMB_CAGE,HC,BOTTOM,1,NA,AQUATIC MACROINVERTEBRATE,plecoptera ,,,,NA,,NA,,,,1
65,,LML,,,SM.SMB_CAGE,LP,LP_B,1,NA,AQUATIC MACROINVERTEBRATE,NI,,,,NA,,NA,,,,1
66,,LML,,,SM.SMB_CAGE,N,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,BUG,,,,NA,,NA,,,,1
67,,LML,,,SM.SMB_CAGE,N,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,decapoda,cambaridae,orconectes ,propinquus,NA,,NA,,,,2
68,,LML,,,SM.SMB_CAGE,N,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,diptera ,chironomidae,,,NA,,NA,,,,1
69,,LML,,,SM.SMB_CAGE,N,SEDIMENT,1,NA,AQUATIC MACROINVERTEBRATE,SALAMDER LARVE,,,,NA,A1,NA,,,,1
70,,LML,,,SM.SMB_CAGE,STICK,STICK,1,NA,AQUATIC MACROINVERTEBRATE,trichoptera,,,,NA,O,NA,,,,3
